session_swing,max_rfx,min_rfx,max_rfy,min_rfy,max_rfz,min_rfz,max_lfx,min_lfx,max_lfy,min_lfy,max_lfz,min_lfz,range_rfx,range_rfy,range_rfz,range_lfx,range_lfy,range_lfz
103_1,179.4015,-232.2776,152.6292,-88.0097,1101.3711,48.8063,121.2052,-885.2729,130.9304,-414.4391,2322.2798,-13.4557,411.6791,240.63889999999998,1052.5648,1006.4781,545.3695,2335.7355
103_2,140.1327,-189.7241,191.3426,-106.2254,1092.3006,51.3111,111.2187,-767.0614,128.0167,-475.8343,2270.0012,-13.8138,329.8568,297.568,1040.9895000000001,878.2801000000001,603.851,2283.815
103_3,106.3177,-124.4299,266.7176,-84.5785,1117.9434,115.4112,178.4852,-827.7215,161.8112,-437.5895,1942.1915,-9.8942,230.7476,351.2961,1002.5322000000001,1006.2067,599.4007,1952.0856999999999
103_4,138.6102,-175.8547,221.8685,-122.1629,1102.414,7.9649,170.5486,-903.5394,187.1682,-430.2591,2509.2788,-9.1957,314.4649,344.0314,1094.4491,1074.088,617.4273000000001,2518.4745000000003
103_5,175.0215,-219.5387,189.4177,-72.5831,1119.0327,18.2982,176.3782,-939.6424,177.3536,-420.4205,2492.2496,-9.9647,394.5602,262.0008,1100.7345,1116.0205999999998,597.7741,2502.2143
111_1,163.7835,-99.7634,230.9218,-47.5029,788.2761,85.7771,34.5658,-488.4576,90.8811,-348.0417,1601.0371,1.2288,263.5469,278.4247,702.499,523.0234,438.9228,1599.8083
111_2,165.3253,-99.0797,221.0422,-56.252,799.7272,64.866,47.2462,-571.3985,130.406,-363.0352,1848.7596,0.7981,264.405,277.2942,734.8612,618.6447000000001,493.4412,1847.9615000000001
111_3,160.8065,-90.4382,242.483,-66.5764,796.9796,52.246,68.5579,-544.2165,97.5017,-358.0378,1762.9617,1.0062,251.2447,309.0594,744.7336,612.7744,455.5395,1761.9555
111_4,152.1442,-82.7345,235.8432,-53.9942,811.3584,56.7722,69.309,-484.1041,122.7366,-332.5918,1588.6186,1.348,234.8787,289.8374,754.5862,553.4131,455.3284,1587.2706
111_5,161.8574,-85.7327,261.3565,-78.5874,805.4715,59.1972,82.7985,-614.6711,62.3512,-354.3094,1849.2174,0.9006,247.5901,339.9439,746.2743,697.4696,416.6606,1848.3168
111_6,145.2031,-78.6606,235.9353,-62.069,794.1571,98.8309,57.4654,-595.0103,138.1162,-410.617,1844.3467,1.1096,223.8637,298.0043,695.3262,652.4757000000001,548.7332,1843.2371
111_7,155.6887,-118.7308,231.624,-64.1597,800.0641,78.2445,53.1319,-704.2405,72.1159,-346.324,1987.5088,1.2284,274.4195,295.7837,721.8196,757.3724,418.4399,1986.2804
111_8,158.774,-76.3899,194.5634,-61.1209,795.8888,105.3585,52.8723,-594.2249,113.7937,-415.0279,1768.4195,0.8769,235.1639,255.6843,690.5302999999999,647.0972,528.8216,1767.5426
121_1,208.3153,-244.2614,181.463,-181.1716,838.2469,-22.9197,66.8782,-608.276,165.3948,-359.5731,1724.8564,-6.2715,452.5767,362.6346,861.1666,675.1542,524.9679,1731.1279
121_2,187.9673,-227.4632,190.0212,-148.254,837.7587,-3.6092,161.456,-716.5947,222.8866,-307.6357,1851.7723,-3.7178,415.4305,338.2752,841.3679,878.0507,530.5223,1855.4901
121_3,177.6305,-183.0945,204.4531,-83.3925,841.7614,8.5197,199.5402,-741.278,212.6198,-371.5318,1936.1956,-8.9632,360.725,287.8456,833.2417,940.8182,584.1515999999999,1945.1588
121_4,187.894,-233.6526,171.5576,-159.2058,836.4335,-11.0246,132.9731,-696.3962,167.7123,-365.7275,1914.7376,-11.7814,421.5466,330.76340000000005,847.4581,829.3693000000001,533.4398,1926.519
121_5,197.8479,-208.9319,121.1937,-55.9058,824.9749,-0.5815,68.5004,-633.6783,230.015,-387.7056,1681.9238,-11.0672,406.7798,177.0995,825.5564,702.1787,617.7206,1692.991
121_6,188.3961,-178.1078,147.1412,-71.9234,848.6343,-0.2303,100.3197,-703.3068,183.4321,-408.1922,1805.2051,-11.9353,366.5039,219.06459999999998,848.8646000000001,803.6265,591.6243,1817.1404
121_7,175.366,-230.7745,191.2372,-153.2491,840.9803,-4.2405,131.832,-780.1027,233.519,-349.4618,1944.8602,-12.7606,406.1405,344.48630000000003,845.2208,911.9347,582.9808,1957.6208000000001
121_8,179.2215,-200.2739,129.2808,-47.7899,840.5477,0.732,74.8863,-689.497,188.8076,-378.6038,1754.0249,-12.7015,379.4954,177.0707,839.8157,764.3833,567.4114,1766.7263999999998
123_1,193.0002,-90.1718,127.873,-41.9305,661.0582,-15.737,99.8871,-437.5232,83.8013,-182.4644,1232.9645,0.3567,283.172,169.8035,676.7952,537.4103,266.26570000000004,1232.6078
123_2,178.7671,-100.9816,145.2838,-71.5272,646.6522,-13.0409,110.4519,-418.6784,100.1654,-145.582,1215.6496,2.1783,279.7487,216.811,659.6931,529.1303,245.7474,1213.4713
123_4,189.5086,-124.1575,148.5566,-45.7904,664.9267,-18.7704,90.1478,-431.2535,74.4151,-228.593,1289.9567,3.2694,313.66610000000003,194.347,683.6971,521.4013,303.0081,1286.6873
123_5,175.4043,-97.0107,157.4081,-63.0018,660.9615,-13.1117,68.373,-425.59,87.6256,-185.0115,1253.5871,2.401,272.415,220.4099,674.0732,493.96299999999997,272.63710000000003,1251.1861
123_6,190.3897,-146.3068,148.3543,-39.2712,656.947,-23.9,58.6259,-429.3322,92.5032,-213.6209,1285.803,1.6419,336.6965,187.6255,680.847,487.9581,306.1241,1284.1611
123_7,172.8235,-153.4678,142.6998,-70.191,633.4961,-21.4836,42.7819,-387.4382,95.4324,-165.9834,1293.2963,2.4467,326.2913,212.8908,654.9797,430.2201,261.4158,1290.8496
123_8,189.7087,-70.5675,130.0977,-41.0113,648.4281,-4.8694,61.7495,-369.2455,124.5374,-209.8385,1102.3213,2.4957,260.2762,171.109,653.2975,430.995,334.3759,1099.8256000000001
123_9,184.8918,-97.1905,143.4912,-42.737,646.0971,-11.2934,77.8913,-405.1071,72.1758,-193.429,1217.5112,1.1063,282.0823,186.2282,657.3905,482.9984,265.6048,1216.4049
125_1,223.1767,-184.7688,210.1863,-82.7851,945.8724,-30.608,40.1339,-862.8782,187.3383,-416.1635,2167.9277,-12.5786,407.94550000000004,292.9714,976.4803999999999,903.0121,603.5018,2180.5063
125_2,252.6376,-196.3296,191.2219,-72.3966,956.1379,-15.3125,47.5722,-925.4221,217.6259,-484.2301,2032.2178,-14.9287,448.9672,263.61850000000004,971.4504,972.9943,701.856,2047.1464999999998
125_3,255.6902,-219.679,219.8862,-85.3417,957.3431,-23.8276,49.065,-949.8971,210.8011,-423.4313,2114.0638,-13.4294,475.3692,305.2279,981.1707,998.9621,634.2324,2127.4932
125_4,250.2998,-240.7253,202.0607,-47.5999,935.3833,-20.4095,38.6521,-792.5128,177.5381,-423.3926,1854.5985,-11.6214,491.0251,249.6606,955.7927999999999,831.1649,600.9307,1866.2199
125_5,257.3077,-162.574,195.3091,-84.2867,923.8515,-9.6654,53.6184,-975.784,248.5096,-477.8707,2199.3772,-12.8631,419.8817,279.5958,933.5169,1029.4024,726.3803,2212.2403
125_6,273.906,-175.0319,203.717,-102.9529,928.1062,-15.6963,56.172,-983.1568,232.2458,-351.8969,1855.794,-6.5664,448.9379,306.6699,943.8024999999999,1039.3288,584.1427,1862.3604
125_7,284.2711,-143.568,178.9294,-117.9684,994.9063,-5.6089,29.5055,-1042.0257,227.0859,-391.6176,1922.5851,-13.7303,427.83910000000003,296.89779999999996,1000.5151999999999,1071.5312,618.7035,1936.3154
140_1,175.5222,-134.6653,166.6959,-75.3416,928.6573,25.3629,123.9162,-665.1472,328.9518,-297.8105,1649.6072,-8.4847,310.1875,242.0375,903.2944,789.0634,626.7623,1658.0919
140_2,142.5648,-167.7816,173.2745,-120.6527,966.1643,89.3925,95.7947,-618.4331,291.3461,-277.1562,1485.535,-10.0693,310.3464,293.92719999999997,876.7718,714.2278,568.5023,1495.6043000000002
140_3,155.4341,-168.6886,155.7034,-91.1811,964.865,21.0593,154.4468,-704.3477,269.0846,-271.5018,1588.4648,-11.8188,324.1227,246.8845,943.8057,858.7945,540.5864,1600.2836
140_4,136.1105,-171.1609,169.8762,-89.9719,943.7649,37.7375,131.5964,-663.427,282.9122,-262.8344,1560.1048,-14.3791,307.27139999999997,259.84810000000004,906.0274000000001,795.0234,545.7466,1574.4839000000002
