session_swing,range_lead_hip_x,range_lead_hip_y,range_lead_hip_z,range_lead_shoulder_x,range_lead_shoulder_y,range_lead_shoulder_z,range_pelvis_x,range_pelvis_y,range_pelvis_z,range_rear_hip_x,range_rear_hip_y,range_rear_hip_z,range_rear_shoulder_x,range_rear_shoulder_y,range_rear_shoulder_z,range_torso_x,range_torso_y,range_torso_z,range_torso_pelvis_x,range_torso_pelvis_y,range_torso_pelvis_z,max_lead_hip_y,max_lead_hip_z,max_lead_shoulder_x,max_lead_shoulder_y,max_lead_shoulder_z,max_pelvis_x,max_pelvis_y,max_pelvis_z,max_rear_hip_x,max_rear_hip_y,max_rear_hip_z,max_rear_shoulder_x,max_rear_shoulder_y,max_rear_shoulder_z,max_torso_x,max_torso_y,max_torso_z,max_torso_pelvis_x,max_torso_pelvis_y,max_torso_pelvis_z,max_rfx,min_rfx,max_rfy,min_rfy,max_rfz,min_rfz,max_lfx,min_lfx,max_lfy,min_lfy,max_lfz,min_lfz,range_rfx,range_rfy,range_rfz,range_lfx,range_lfy,range_lfz,bat_speed_mph_max_x
103_1,590.6812,683.4751,778.1339,626.6176,772.4953,867.6362,287.0587,371.0611,874.0218,644.0518,933.6464,825.7655,838.0101,689.2249,2012.5854,273.5248,231.7326,848.3957,233.0842,462.1999,743.5585,106.1113,384.345,299.1437,433.0858,617.1386,181.5015,88.3858,733.6451,87.9051,588.4647,136.7679,550.0243,514.1198,1188.6807,186.1224,182.7302,775.7749,182.4743,363.7575,520.3453,179.4015,-232.2776,152.6292,-88.0097,1101.3711,48.8063,121.2052,-885.2729,130.9304,-414.4391,2322.2798,-13.4557,411.6791,240.63889999999998,1052.5648,1006.4781,545.3695,2335.7355,69.2154
103_2,536.197,691.2838,960.4793,560.1410000000001,685.9365,1054.5098,312.7723,393.42539999999997,864.0421,667.0792,471.73490000000004,491.7762,947.966,812.9988000000001,1884.7436,279.0162,227.9271,814.2556000000001,306.7874,512.2673,642.848,111.7273,520.8627,227.3073,325.1417,751.1699,210.2861,106.4238,799.8748,161.5786,156.6066,152.1901,638.6019,535.2822,1278.538,199.984,196.9712,775.3766,236.0902,394.8587,398.2403,140.1327,-189.7241,191.3426,-106.2254,1092.3006,51.3111,111.2187,-767.0614,128.0167,-475.8343,2270.0012,-13.8138,329.8568,297.568,1040.9895000000001,878.2801000000001,603.851,2283.815,66.0435
103_3,586.832,636.1166000000001,784.0413,752.4751,584.6146,988.9414999999999,271.4792,396.813,932.6839,538.0038999999999,361.984,574.7154,801.1592,708.1030000000001,2837.2544,297.1143,305.93129999999996,823.2495,313.2967,467.8413,853.6754000000001,95.9654,433.6955,290.8848,287.4382,723.688,170.1702,82.5397,740.7065,93.8256,134.8191,173.7039,580.0406,472.9189,1588.7207,159.0002,248.4432,793.0441,222.8233,303.6171,600.9836,106.3177,-124.4299,266.7176,-84.5785,1117.9434,115.4112,178.4852,-827.7215,161.8112,-437.5895,1942.1915,-9.8942,230.7476,351.2961,1002.5322000000001,1006.2067,599.4007,1952.0856999999999,65.0387
103_4,628.4384,675.2778,1036.2757,846.4045,485.31280000000004,1472.725,330.25600000000003,402.3244,795.4218999999999,604.8223,498.87919999999997,584.4044,958.8471,732.5588,1847.4297,257.8174,201.1642,870.664,228.67380000000003,453.8789,541.5395000000001,114.2043,489.4716,253.4248,139.3477,810.9479,230.8248,81.4764,741.3719,105.4455,152.8316,114.2414,635.8561,484.2663,888.127,193.428,166.9048,819.989,168.7606,309.5854,280.1605,138.6102,-175.8547,221.8685,-122.1629,1102.414,7.9649,170.5486,-903.5394,187.1682,-430.2591,2509.2788,-9.1957,314.4649,344.0314,1094.4491,1074.088,617.4273000000001,2518.4745000000003,60.9263
103_5,595.3172,710.3894,1093.3019,557.3979999999999,754.2786,1130.6572,302.6515,348.1626,870.158,572.5473,423.1867,554.2641,840.4242,699.1772,2222.6725,289.8648,240.6062,809.9368,286.4758,511.9543,756.6446,105.712,597.722,276.8635,445.5737,862.6313,175.8319,75.9968,770.495,87.9243,95.0422,158.1217,566.9714,502.2202,1487.6143,194.0215,191.2448,774.5865,220.74,354.4413,538.4553,175.0215,-219.5387,189.4177,-72.5831,1119.0327,18.2982,176.3782,-939.6424,177.3536,-420.4205,2492.2496,-9.9647,394.5602,262.0008,1100.7345,1116.0205999999998,597.7741,2502.2143,66.0698
111_1,774.4262,659.1681,545.5862999999999,828.3813,549.168,1291.1111,415.2637,285.299,802.2234000000001,904.8198,437.8305,462.9435,990.3897999999999,950.4839,2489.6717,225.36610000000002,293.32849999999996,924.7839,187.8998,424.79089999999997,488.1046,99.9684,346.7274,465.1458,423.4115,161.4373,268.7401,93.125,722.2499,213.5663,154.4769,211.4283,498.8273,390.1604,990.6049,94.9877,231.8525,784.7827,113.0889,336.2213,322.5134,163.7835,-99.7634,230.9218,-47.5029,788.2761,85.7771,34.5658,-488.4576,90.8811,-348.0417,1601.0371,1.2288,263.5469,278.4247,702.499,523.0234,438.9228,1599.8083,62.8316
111_2,830.0716,601.7632,693.2755,947.7584999999999,414.6464,1224.4279999999999,392.515,296.814,793.7545,770.6567,532.3906000000001,433.0822,953.0039,968.3780999999999,1933.3534,252.1464,277.1536,845.0562,243.4262,406.7136,367.5158,82.7857,327.8435,462.4955,347.9999,115.3942,224.5189,84.1869,713.3103,127.0822,188.9439,179.0603,452.0228,420.1679,991.2583,127.2094,264.7224,778.8466,148.5366,331.9916,196.8363,165.3253,-99.0797,221.0422,-56.252,799.7272,64.866,47.2462,-571.3985,130.406,-363.0352,1848.7596,0.7981,264.405,277.2942,734.8612,618.6447000000001,493.4412,1847.9615000000001,64.4307
111_3,741.197,562.7315,779.8363999999999,991.5808999999999,413.0691,1022.7945,366.2356,316.0297,852.581,807.6237,535.1218,435.8999,1004.0011,1126.3841,1747.5522,254.1311,280.1902,911.4775,211.3065,423.4672,427.05899999999997,86.9831,320.3438,363.4455,340.6968,97.9403,233.866,99.3301,731.3123,116.144,162.444,152.5365,510.5273,541.4661,894.345,133.6132,262.7739,838.5712,127.206,308.4853,283.5928,160.8065,-90.4382,242.483,-66.5764,796.9796,52.246,68.5579,-544.2165,97.5017,-358.0378,1762.9617,1.0062,251.2447,309.0594,744.7336,612.7744,455.5395,1761.9555,60.9335
111_4,796.833,627.2778000000001,758.3551,955.8621,449.3263,1265.8395,338.72479999999996,304.1988,838.5717,848.1392000000001,430.6529,520.6219,998.2235,992.5902000000001,1869.0787,267.3331,324.4628,922.9576,190.34799999999998,372.97860000000003,370.1992,68.565,353.0879,447.8112,342.8454,122.5634,233.9149,102.0961,759.2511,129.377,158.1386,167.9554,438.8674,404.2801,908.9163,158.0517,312.1409,861.6895,155.432,283.6836,235.5798,152.1442,-82.7345,235.8432,-53.9942,811.3584,56.7722,69.309,-484.1041,122.7366,-332.5918,1588.6186,1.348,234.8787,289.8374,754.5862,553.4131,455.3284,1587.2706,62.3658
111_5,726.2363,612.3901,1322.5669,741.3324,440.6037,958.8334,365.71619999999996,349.6317,824.2955000000001,842.5985999999999,465.53920000000005,387.6486,944.4057,982.7961,2115.6003,336.3138,267.83230000000003,931.7428,249.25350000000003,417.81910000000005,447.08219999999994,119.718,503.6317,311.1201,323.1496,113.8394,248.3378,131.2198,726.6249,196.1659,135.2225,158.0314,423.0939,347.7264,942.9194,156.0928,248.9034,860.5675,152.0612,299.9614,286.9061,161.8574,-85.7327,261.3565,-78.5874,805.4715,59.1972,82.7985,-614.6711,62.3512,-354.3094,1849.2174,0.9006,247.5901,339.9439,746.2743,697.4696,416.6606,1848.3168,62.0994
111_6,752.8429000000001,642.5918,615.2741,912.7813,501.31600000000003,1238.6513,368.1621,261.64689999999996,845.0353,897.1064000000001,552.5953,438.8401,871.98,1145.4651,2105.9352,219.2613,272.3628,876.1897,244.99079999999998,433.961,403.21860000000004,94.674,298.0691,406.0102,426.0375,136.7753,231.7038,74.6798,750.8482,240.3874,171.084,203.1971,390.4569,553.2361,921.0145,91.0486,251.4755,802.2349,144.4073,321.9499,252.0299,145.2031,-78.6606,235.9353,-62.069,794.1571,98.8309,57.4654,-595.0103,138.1162,-410.617,1844.3467,1.1096,223.8637,298.0043,695.3262,652.4757000000001,548.7332,1843.2371,65.8984
111_7,840.0259,629.1167,520.6337,875.8870999999999,570.248,1229.4838000000002,394.5451,351.15279999999996,842.4358,862.0751,520.2972,425.478,1182.5907,1140.7161,2254.9786,330.94,300.9071,956.7543000000001,247.5213,432.9423,462.9718,100.2767,306.0882,471.135,419.2527,115.9969,235.1308,120.5966,758.6773,181.3571,189.2586,163.2552,529.0444,485.4724,936.2474,191.8179,284.0852,890.58,177.707,331.6295,312.7288,155.6887,-118.7308,231.624,-64.1597,800.0641,78.2445,53.1319,-704.2405,72.1159,-346.324,1987.5088,1.2284,274.4195,295.7837,721.8196,757.3724,418.4399,1986.2804,66.1865
